Sample,Sample_Input,Filtered_Output
0,0,0
1,1299,0
2,1299,0
3,0,-1
4,-1299,-1
5,-1299,-2
6,0,-2
7,1299,0
8,1299,1
9,0,2
10,-1299,2
11,-1299,1
12,0,0
13,1299,-1
14,1299,-3
15,0,-4
16,-1299,-5
17,-1299,-4
18,0,-1
19,1299,3
20,1299,6
21,0,8
22,-1299,6
23,-1299,2
24,0,-4
25,1299,-9
26,1299,-13
27,0,-13
28,-1299,-9
29,-1299,-1
30,0,9
31,1299,18
32,1299,22
33,0,19
34,-1299,8
35,-1299,-8
36,0,-24
37,1299,-35
38,1299,-36
39,0,-26
40,-1299,-5
41,-1299,23
42,0,49
43,1299,66
44,1299,64
45,0,39
46,-1299,-9
47,-1299,-73
48,0,-143
49,1299,-206
50,1299,-250
51,0,-265
52,-1299,1049
53,-1299,1092
54,0,-143
55,1299,-1372
56,1299,-1307
57,0,39
58,-1299,1362
59,-1299,1364
60,0,49
61,1299,-1276
62,1299,-1303
63,0,-26
64,-1299,1263
65,-1299,1264
66,0,-24
67,1299,-1306
68,1299,-1291
69,0,19
70,-1299,1320
71,-1299,1316
72,0,9
73,1299,-1300
74,1299,-1307
75,0,-13
76,-1299,1286
77,-1299,1289
78,0,-4
79,1299,-1297
80,1299,-1292
81,0,8
82,-1299,1305
83,-1299,1301
84,0,-1
85,1299,-1302
86,1299,-1303
87,0,-4
88,-1299,1296
89,-1299,1297
90,0,0
91,1299,-1298
92,1299,-1297
93,0,2
94,-1299,1299
95,-1299,1298
96,0,-2
97,1299,-1300
98,1299,-1300
99,0,-1
100,-1299,1298
101,-1299,1298
102,0,0
103,1299,-1299
104,1299,-1299
105,0,0
106,-1299,1298
107,-1299,1298
108,0,0
109,1299,-1299
110,1299,-1299
111,0,0
112,-1299,1298
113,-1299,1298
114,0,0
115,1299,-1299
116,1299,-1299
117,0,0
118,-1299,1298
119,-1299,1298
120,0,0
121,1299,-1299
122,1299,-1299
123,0,0
124,-1299,1298
125,-1299,1298
126,0,0
127,1299,-1299
128,1299,-1299
129,0,0
130,-1299,1298
131,-1299,1298
132,0,0
133,1299,-1299
134,1299,-1299
135,0,0
136,-1299,1298
137,-1299,1298
138,0,0
139,1299,-1299
140,1299,-1299
141,0,0
142,-1299,1298
143,-1299,1298
144,0,0
145,1299,-1299
146,1299,-1299
147,0,0
148,-1299,1298
149,-1299,1298
150,0,0
151,1299,-1299
152,1299,-1299
153,0,0
154,-1299,1298
155,-1299,1298
156,0,0
157,1299,-1299
158,1299,-1299
159,0,0
160,-1299,1298
161,-1299,1298
162,0,0
163,1299,-1299
164,1299,-1299
165,0,0
166,-1299,1298
167,-1299,1298
168,0,0
169,1299,-1299
170,1299,-1299
171,0,0
172,-1299,1298
173,-1299,1298
174,0,0
175,1299,-1299
176,1299,-1299
177,0,0
178,-1299,1298
179,-1299,1298
180,0,0
181,1299,-1299
182,1299,-1299
183,0,0
184,-1299,1298
185,-1299,1298
186,0,0
187,1299,-1299
188,1299,-1299
189,0,0
190,-1299,1298
191,-1299,1298
192,0,0
193,1299,-1299
194,1299,-1299
195,0,0
196,-1299,1298
197,-1299,1298
198,0,0
199,1299,-1299
